branch_type,depth,key,train_support,train_fraud_count,train_fraud_rate,train_lift,selection_score
flat_tuple,5,mobile|debit|mastercard|S|__MISSING__,310,24,0.07741935483870968,2.2013659419807494,20.486897277872895
flat_tuple,5,desktop|credit|visa|C|anonymous.com,726,29,0.03994490358126722,1.135805774701959,20.44658620175047
flat_tuple,5,desktop|credit|discover|S|__MISSING__,351,24,0.06837606837606838,1.9442263305243086,20.230909758708858
flat_tuple,5,desktop|debit|visa|C|__MISSING__,281,23,0.08185053380782918,2.3273634588260292,20.152212956975998
flat_tuple,5,mobile|credit|mastercard|H|yahoo.com,263,22,0.08365019011406843,2.3785354442821145,19.743596504109423
flat_tuple,5,desktop|credit|american express|H|gmail.com,387,22,0.056847545219638244,1.6164207282847447,18.920975732834773
flat_tuple,5,__MISSING__|debit|mastercard|C|gmail.com,348,20,0.05747126436781609,1.6341557519493108,18.068303493146725
flat_tuple,5,desktop|credit|american express|S|__MISSING__,353,20,0.056657223796033995,1.6110090699103687,18.031816693020478
flat_tuple,5,desktop|debit|mastercard|C|__MISSING__,214,18,0.08411214953271028,2.391670941637963,17.86641086087613
flat_tuple,5,desktop|credit|visa|H|comcast.net,297,19,0.06397306397306397,1.819029938028425,17.860870652362184
flat_tuple,5,__MISSING__|credit|mastercard|C|hotmail.com,450,20,0.044444444444444446,1.2637471148408004,17.33164235123045
flat_tuple,5,desktop|debit|mastercard|R|yahoo.com,212,11,0.05188679245283019,1.4753651458636703,13.197207302665152
